Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.061365876,999.0,-0.9375,-0.9375,1.0
20000,1.4189383,-0.067416325,999.0,0.0,0.0,1.0
30000,1.4186014,0.03027372,999.0,0.0,0.0,1.0
40000,1.4185505,0.040588092,999.0,-0.16666666666666666,-0.16666666666666666,1.0
50000,1.4185035,0.043369632,999.0,-1.6111111111111112,-1.6111111111111112,1.0
60000,1.4184946,0.08058423,999.0,-0.625,-0.625,1.0
70000,1.4180322,0.06977617,999.0,-0.5,-0.5,1.0
80000,1.4178028,0.061453167,999.0,-1.4,-1.4,1.0
90000,1.4173591,0.06356021,999.0,0.0,0.0,1.0
100000,1.4170095,0.06258838,999.0,-1.0,-1.0,1.0
110000,1.4171642,0.050850146,999.0,-0.125,-0.125,1.0
120000,1.4173452,0.04555647,999.0,-0.6666666666666666,-0.6666666666666666,1.0
130000,1.4172081,0.043845415,999.0,-0.1111111111111111,-0.1111111111111111,1.0
140000,1.416968,0.022085542,999.0,0.0,0.0,1.0
150000,1.4169358,0.009034691,999.0,-0.0625,-0.0625,1.0
160000,1.4168302,0.015414697,999.0,-0.8333333333333334,-0.8333333333333334,1.0
170000,1.4169734,0.0014344532,999.0,0.0,0.0,1.0
180000,1.4176801,0.007063251,999.0,0.0,0.0,1.0
190000,1.4177315,0.005422491,999.0,0.0,0.0,1.0
200000,1.4182149,-0.0006162131,999.0,-1.1666666666666667,-1.1666666666666667,1.0
210000,1.4182096,0.013350812,999.0,-0.05555555555555555,-0.05555555555555555,1.0
220000,1.4181849,0.00412069,999.0,0.0,0.0,1.0
230000,1.418185,-0.00404181,999.0,0.0,0.0,1.0
240000,1.4192401,-0.002097486,999.0,-0.7666666666666667,-0.7666666666666667,1.0
250000,1.4192617,0.020482462,999.0,0.0,0.0,1.0
260000,1.419325,0.014070409,999.0,0.0,0.0,1.0
270000,1.4193383,0.010147378,999.0,-0.0625,-0.0625,1.0
280000,1.4198304,0.016210724,999.0,-0.43333333333333335,-0.43333333333333335,1.0
290000,1.4199702,0.017659083,999.0,0.0,0.0,1.0
300000,1.419903,0.014715562,999.0,-0.625,-0.625,1.0
310000,1.4198633,0.018132085,999.0,0.0,0.0,1.0
320000,1.4196541,0.013489211,999.0,0.0,0.0,1.0
330000,1.419492,0.02697131,999.0,0.0,0.0,1.0
340000,1.4185761,0.022365024,999.0,0.0,0.0,1.0
350000,1.4174958,0.025897527,999.0,0.0,0.0,1.0
360000,1.4172418,0.020376313,999.0,0.0,0.0,1.0
370000,1.416804,0.015981112,999.0,-0.16666666666666666,-0.16666666666666666,1.0
380000,1.4169141,0.01879267,999.0,0.0,0.0,1.0
390000,1.417221,0.0092944205,999.0,-0.0625,-0.0625,1.0
400000,1.4172665,0.00400405,999.0,-0.7,-0.7,1.0
410000,1.4174982,-0.0047278367,999.0,0.0,0.0,1.0
420000,1.4174516,0.005414393,999.0,0.0,0.0,1.0
430000,1.4167975,0.005378762,999.0,0.0,0.0,1.0
440000,1.4167975,0.015857449,999.0,0.0,0.0,1.0
450000,1.4165572,0.008095038,999.0,0.0,0.0,1.0
460000,1.4165567,0.008171683,999.0,0.0,0.0,1.0
470000,1.4163833,0.006538306,999.0,0.0,0.0,1.0
480000,1.416355,0.009612173,999.0,0.0,0.0,1.0
490000,1.4157082,0.0041871197,999.0,0.0,0.0,1.0
500000,1.4155122,0.006127113,999.0,0.0,0.0,1.0
510000,1.4154872,0.008986002,999.0,0.0,0.0,1.0
520000,1.4154739,0.0006872678,999.0,0.0,0.0,1.0
530000,1.415272,-0.00069225114,999.0,0.0,0.0,1.0
540000,1.4151154,0.0026455803,999.0,0.0,0.0,1.0
550000,1.4146359,0.001682631,999.0,0.0,0.0,1.0
560000,1.4141198,0.0043094344,999.0,0.0,0.0,1.0
570000,1.4139352,0.00298956,999.0,0.0,0.0,1.0
580000,1.4136122,-0.0018126495,999.0,0.0,0.0,1.0
590000,1.4137454,0.0005050312,999.0,0.0,0.0,1.0
600000,1.4140974,-0.00014366215,999.0,0.0,0.0,1.0
610000,1.4139925,0.0011397464,999.0,0.0,0.0,1.0
620000,1.4134737,0.0023908883,999.0,-0.1875,-0.1875,1.0
630000,1.4134892,0.0029371318,999.0,0.0,0.0,1.0
640000,1.4137781,0.0044156243,999.0,0.0,0.0,1.0
650000,1.4137781,-0.006917818,999.0,-0.05555555555555555,-0.05555555555555555,1.0
660000,1.4138553,-0.0025999236,999.0,0.0,0.0,1.0
670000,1.4138534,-0.0032689522,999.0,-0.1875,-0.1875,1.0
680000,1.4139234,-0.0009259694,999.0,0.0,0.0,1.0
690000,1.4139347,0.0063500963,999.0,0.0,0.0,1.0
700000,1.4135588,0.003508858,999.0,0.0,0.0,1.0
710000,1.4134439,0.002750063,999.0,0.0,0.0,1.0
720000,1.4134288,0.00140559,999.0,0.019686949253082276,0.019686949253082276,1.0
730000,1.4134247,0.0025475014,999.0,-0.05555555555555555,-0.05555555555555555,1.0
740000,1.4133923,-0.0012981008,999.0,0.0,0.0,1.0
750000,1.4133683,0.0041158535,999.0,0.0,0.0,1.0
760000,1.4133501,0.0035691222,999.0,0.0,0.0,1.0
770000,1.4133358,0.0019098541,999.0,0.0,0.0,1.0
780000,1.4132555,-0.00020119688,999.0,0.0,0.0,1.0
790000,1.4131597,0.0030572305,999.0,0.0,0.0,1.0
800000,1.4131554,-0.000853113,999.0,0.0,0.0,1.0
810000,1.4131502,0.0022877888,999.0,-0.1111111111111111,-0.1111111111111111,1.0
820000,1.4131341,0.00027645574,999.0,0.0,0.0,1.0
830000,1.4130846,0.0034816016,999.0,0.0,0.0,1.0
840000,1.4130716,0.004356277,999.0,0.0,0.0,1.0
850000,1.4129914,0.0049331733,999.0,0.0,0.0,1.0
860000,1.4129858,0.0020885398,999.0,0.0,0.0,1.0
870000,1.4129002,0.0020518529,999.0,0.0,0.0,1.0
880000,1.4129003,0.0020660525,999.0,0.0,0.0,1.0
890000,1.4127795,0.0028117339,999.0,0.0,0.0,1.0
900000,1.4127768,0.0018945677,999.0,0.03720198571681976,0.03720198571681976,1.0
910000,1.4127764,0.000487238,999.0,0.0,0.0,1.0
920000,1.4127771,0.001835629,999.0,0.0,0.0,1.0
930000,1.41269,0.00035568228,999.0,0.013046996461020576,0.013046996461020576,1.0
940000,1.4126607,0.0032681704,999.0,0.0,0.0,1.0
950000,1.4125806,0.0010571842,999.0,0.0,0.0,1.0
960000,1.4125406,0.00032241165,999.0,-0.03333333333333333,-0.03333333333333333,1.0
970000,1.4125272,-0.00010109823,999.0,0.0,0.0,1.0
980000,1.4125177,0.0016671509,999.0,0.0,0.0,1.0
990000,1.412507,0.0015845038,999.0,0.0,0.0,1.0
1000000,1.4124953,-0.0011280895,999.0,0.0,0.0,1.0
