Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.07681544,999.0,0.0,0.0,1.0
20000,1.4189383,0.068147115,999.0,-0.5909090909090909,-0.5909090909090909,1.0
30000,1.4170613,0.08859737,999.0,0.0,0.0,1.0
40000,1.4169115,0.09595251,999.0,0.0,0.0,1.0
50000,1.4169099,0.09871922,999.0,-3.0,-3.0,1.0
60000,1.416914,0.095005184,999.0,-1.0,-1.0,1.0
70000,1.4181572,0.07787411,999.0,0.0,0.0,1.0
80000,1.4184366,0.0530545,999.0,-0.47451153668490326,-0.47451153668490326,1.0
90000,1.4192309,0.05662777,999.0,-0.09152322014172871,-0.09152322014172871,1.0
100000,1.4194719,0.04607512,999.0,-3.1818181818181817,-3.1818181818181817,1.0
110000,1.4202867,0.070213035,999.0,0.0,0.0,1.0
120000,1.4205927,0.056570955,999.0,-0.2727272727272727,-0.2727272727272727,1.0
130000,1.4200926,0.067430176,999.0,0.0,0.0,1.0
140000,1.4198424,0.059767596,999.0,0.005423768677494742,0.005423768677494742,1.0
150000,1.4185534,0.058436383,999.0,0.0,0.0,1.0
160000,1.4177729,0.043844916,999.0,0.0,0.0,1.0
170000,1.4172221,0.054070126,999.0,0.0,0.0,1.0
180000,1.416828,0.019456204,999.0,-1.2272727272727273,-1.2272727272727273,1.0
190000,1.4170706,0.05815195,999.0,0.0,0.0,1.0
200000,1.417301,0.06196454,999.0,0.0,0.0,1.0
210000,1.417207,0.05746605,999.0,0.0,0.0,1.0
220000,1.4170977,0.042008948,999.0,0.0,0.0,1.0
230000,1.4157922,0.049552817,999.0,0.0,0.0,1.0
240000,1.4140747,0.049004663,999.0,0.0,0.0,1.0
250000,1.4141978,0.046128083,999.0,0.0,0.0,1.0
260000,1.4144307,0.044190995,999.0,0.0,0.0,1.0
270000,1.4146622,0.039589982,999.0,0.0,0.0,1.0
280000,1.4151231,0.044807453,999.0,-1.0,-1.0,1.0
290000,1.4154814,0.037440848,999.0,0.02968911329905192,0.02968911329905192,1.0
300000,1.4164497,0.013516642,999.0,-2.090909090909091,-2.090909090909091,1.0
310000,1.4170742,0.007967366,999.0,-2.8333333333333335,-2.8333333333333335,1.0
320000,1.4192164,0.026796877,999.0,-0.9545454545454546,-0.9545454545454546,1.0
330000,1.4193884,-0.0030779927,999.0,-2.8333333333333335,-2.8333333333333335,1.0
340000,1.4201292,0.008688589,999.0,0.0,0.0,1.0
350000,1.4197972,0.014593327,999.0,0.0,0.0,1.0
360000,1.4173049,0.025151372,999.0,0.0,0.0,1.0
370000,1.4170805,0.015880283,999.0,0.0,0.0,1.0
380000,1.4142877,0.022055916,999.0,0.0,0.0,1.0
390000,1.41424,0.024927948,999.0,0.025609271393881902,0.025609271393881902,1.0
400000,1.4131831,0.022911657,999.0,0.0,0.0,1.0
410000,1.4131831,0.023647806,999.0,0.0,0.0,1.0
420000,1.412057,0.019913554,999.0,0.0,0.0,1.0
430000,1.412023,0.00944182,999.0,-0.7222222222222222,-0.7222222222222222,1.0
440000,1.4121344,0.021825174,999.0,0.0,0.0,1.0
450000,1.4121544,0.022269102,999.0,0.0,0.0,1.0
460000,1.4114937,0.027873423,999.0,0.0,0.0,1.0
470000,1.4113966,0.02714489,999.0,0.0,0.0,1.0
480000,1.4107679,0.030537182,999.0,0.16255784034729004,0.16255784034729004,1.0
490000,1.4106337,0.026558656,999.0,0.0,0.0,1.0
500000,1.4114968,0.025233965,999.0,0.0,0.0,1.0
510000,1.4117299,0.022224283,999.0,0.0,0.0,1.0
520000,1.410833,0.016967844,999.0,-0.045454545454545456,-0.045454545454545456,1.0
530000,1.4104937,0.009715053,999.0,-0.3888888888888889,-0.3888888888888889,1.0
540000,1.410567,0.018104302,999.0,0.0,0.0,1.0
550000,1.4106096,0.010652132,999.0,-0.3888888888888889,-0.3888888888888889,1.0
560000,1.4114685,0.0173101,999.0,0.017347728664224796,0.017347728664224796,1.0
570000,1.4119879,0.018862167,999.0,0.0,0.0,1.0
580000,1.4125439,0.020427281,999.0,0.029915503480217674,0.029915503480217674,1.0
590000,1.4129423,0.020121073,999.0,0.0,0.0,1.0
600000,1.4122975,0.017721266,999.0,0.0,0.0,1.0
610000,1.4117076,0.014468968,999.0,0.0,0.0,1.0
620000,1.410311,0.016557291,999.0,0.0,0.0,1.0
630000,1.4087582,0.013706526,999.0,0.0,0.0,1.0
640000,1.4081404,0.012533253,999.0,0.0,0.0,1.0
650000,1.4073104,0.012775841,999.0,0.11563465330335829,0.11563465330335829,1.0
660000,1.407352,0.010898074,999.0,0.0,0.0,1.0
670000,1.407437,0.0065585375,999.0,0.0,0.0,1.0
680000,1.4073364,-0.0027983352,999.0,0.2607909549366344,0.2607909549366344,1.0
690000,1.4071095,-0.019392114,999.0,-0.05555555555555555,-0.05555555555555555,1.0
700000,1.407097,-0.005352629,999.0,0.01380719921805642,0.01380719921805642,1.0
710000,1.4070829,0.0056980336,999.0,0.0,0.0,1.0
720000,1.4073082,0.0058040023,999.0,0.0,0.0,1.0
730000,1.4080786,0.014653859,999.0,0.0,0.0,1.0
740000,1.4080623,0.012296133,999.0,0.0,0.0,1.0
750000,1.4080104,0.020140648,999.0,0.0,0.0,1.0
760000,1.407912,0.015729133,999.0,0.0,0.0,1.0
770000,1.407059,0.023704415,999.0,0.0,0.0,1.0
780000,1.4070004,0.028708875,999.0,0.0,0.0,1.0
790000,1.4061869,0.019119665,999.0,0.009700208902359009,0.009700208902359009,1.0
800000,1.40616,0.020194525,999.0,0.1825179620222612,0.1825179620222612,1.0
810000,1.4053515,0.013766003,999.0,0.0,0.0,1.0
820000,1.4053515,0.0039051413,999.0,-3.1363636363636362,-3.1363636363636362,1.0
830000,1.4056433,-0.019662712,999.0,0.0,0.0,1.0
840000,1.4056624,-0.030286515,999.0,0.0,0.0,1.0
850000,1.4053673,-0.012799004,999.0,0.0,0.0,1.0
860000,1.4053248,-0.0145696495,999.0,0.0,0.0,1.0
870000,1.4046854,-0.012324248,999.0,0.0,0.0,1.0
880000,1.4045861,-0.011049038,999.0,0.01839384843002666,0.01839384843002666,1.0
890000,1.403724,-0.006080265,999.0,0.0,0.0,1.0
900000,1.4035398,-0.0047776895,999.0,0.0,0.0,1.0
910000,1.4026697,-0.007934153,999.0,0.0961283114221361,0.0961283114221361,1.0
920000,1.4024099,-0.0068823397,999.0,0.0,0.0,1.0
930000,1.401986,-0.008761339,999.0,0.0,0.0,1.0
940000,1.401827,-0.009934037,999.0,0.02020836282860149,0.02020836282860149,1.0
950000,1.4015865,-0.0077817487,999.0,0.0,0.0,1.0
960000,1.401462,-0.008561665,999.0,0.010370513932271437,0.010370513932271437,1.0
970000,1.4011679,-0.007300441,999.0,0.04585366116629706,0.04585366116629706,1.0
980000,1.4009858,-0.007248795,999.0,0.6041806231845509,0.6041806231845509,1.0
990000,1.4006971,0.008380972,999.0,0.03571578529145983,0.03571578529145983,1.0
1000000,1.4004781,0.019175721,999.0,0.590715226801959,0.590715226801959,1.0
1010000,1.3998375,0.018895505,999.0,0.24186685350206164,0.24186685350206164,1.0
1020000,1.3992404,0.0151336985,999.0,1.023343556306579,1.023343556306579,1.0
1030000,1.3979361,-0.0043729283,999.0,0.5242602676153183,0.5242602676153183,1.0
1040000,1.3964964,-0.032537986,999.0,0.8632958490740169,0.8632958490740169,1.0
1050000,1.3957579,-0.022598315,999.0,1.6849788170721796,1.6849788170721796,1.0
1060000,1.3947518,-0.026966993,999.0,1.1056389097463002,1.1056389097463002,1.0
1070000,1.3943247,-0.015543425,999.0,0.7832522301210297,0.7832522301210297,1.0
1080000,1.3936292,-0.017579377,999.0,1.827724393795837,1.827724393795837,1.0
1090000,1.3931348,-0.020613547,999.0,0.6866085525188181,0.6866085525188181,1.0
1100000,1.3920879,-0.011116038,999.0,1.8689136003906077,1.8689136003906077,1.0
1110000,1.3915201,0.017928086,999.0,1.169220260447926,1.169220260447926,1.0
1120000,1.3899332,0.06780638,999.0,2.470161218873479,2.470161218873479,1.0
1130000,1.389565,0.06608786,999.0,1.7609518965085347,1.7609518965085347,1.0
1140000,1.3883024,0.10592989,999.0,1.97546708854762,1.97546708854762,1.0
1150000,1.3879209,0.111164354,999.0,3.4203613268004522,3.4203613268004522,1.0
1160000,1.3862668,0.15610383,999.0,3.393330432474613,3.393330432474613,1.0
1170000,1.3859056,0.12303074,999.0,2.6291814380221896,2.6291814380221896,1.0
1180000,1.3834101,0.08172817,999.0,3.4830338365652342,3.4830338365652342,1.0
1190000,1.3831747,0.09679799,999.0,4.394129510555002,4.394129510555002,1.0
1200000,1.3805988,0.1763874,999.0,5.686864109201864,5.686864109201864,1.0
1210000,1.3805149,0.19067022,999.0,5.1832749926381645,5.1832749926381645,1.0
1220000,1.3774108,0.22680059,999.0,6.179823117161339,6.179823117161339,1.0
1230000,1.3774107,0.22944197,999.0,8.09428722742531,8.09428722742531,1.0
1240000,1.3750504,0.2942814,999.0,11.530584186315536,11.530584186315536,1.0
1250000,1.3749961,0.27315107,999.0,9.90321302662293,9.90321302662293,1.0
1260000,1.3723714,0.3766237,999.0,11.628410258076407,11.628410258076407,1.0
1270000,1.3721396,0.39740834,999.0,10.699452704853481,10.699452704853481,1.0
1280000,1.3702545,0.4699045,999.0,7.743437773463401,7.743437773463401,1.0
1290000,1.3699691,0.51210135,999.0,12.214256264269352,12.214256264269352,1.0
1300000,1.3684318,0.5886882,999.0,11.389192435551774,11.389192435551774,1.0
1310000,1.3681017,0.6670704,999.0,18.27499271225598,18.27499271225598,1.0
1320000,1.3660586,0.7628525,999.0,16.572561574253168,16.572561574253168,1.0
1330000,1.3655149,0.75249517,999.0,18.470193667544258,18.470193667544258,1.0
1340000,1.3636324,0.758352,999.0,16.7399865063754,16.7399865063754,1.0
1350000,1.3629457,0.8339483,999.0,17.338735204603935,17.338735204603935,1.0
1360000,1.3619937,0.9654643,999.0,22.060200206935406,22.060200206935406,1.0
1370000,1.3615456,0.99541044,999.0,20.61041063732571,20.61041063732571,1.0
1380000,1.3590584,1.107948,999.0,19.942843106659975,19.942843106659975,1.0
1390000,1.3575414,1.1140652,999.0,20.055907837218708,20.055907837218708,1.0
1400000,1.3551786,1.120628,999.0,18.48003759167411,18.48003759167411,1.0
1410000,1.3534623,1.1380513,999.0,15.421553999185562,15.421553999185562,1.0
1420000,1.3526262,1.1911491,999.0,18.546285558153283,18.546285558153283,1.0
1430000,1.3518875,1.239537,999.0,22.478365848461788,22.478365848461788,1.0
1440000,1.3510367,1.3851745,999.0,25.321032657880675,25.321032657880675,1.0
1450000,1.3500957,1.3565298,999.0,23.7562809959054,23.7562809959054,1.0
1460000,1.3489832,1.3844365,999.0,22.42929362471808,22.42929362471808,1.0
1470000,1.3474714,1.3869126,999.0,24.733750399616028,24.733750399616028,1.0
1480000,1.3465166,1.5819864,999.0,29.185634634711526,29.185634634711526,1.0
1490000,1.3449572,1.6025827,999.0,28.738964478174847,28.738964478174847,1.0
1500000,1.344272,1.655933,999.0,28.860794495452534,28.860794495452534,1.0
1510000,1.3428478,1.7279673,999.0,27.28457976712121,27.28457976712121,1.0
1520000,1.3421751,1.7785311,999.0,28.798665637997065,28.798665637997065,1.0
1530000,1.3404,1.9174645,999.0,26.241698662439983,26.241698662439983,1.0
1540000,1.3398836,1.9312305,999.0,27.102860012853686,27.102860012853686,1.0
1550000,1.3381597,2.0643997,999.0,29.940433584981495,29.940433584981495,1.0
1560000,1.3378538,1.9879624,999.0,29.00832017985257,29.00832017985257,1.0
1570000,1.3364233,2.1231792,999.0,27.679788251717884,27.679788251717884,1.0
1580000,1.3362349,2.1556642,999.0,27.735863718119536,27.735863718119536,1.0
1590000,1.3349043,2.2350476,999.0,32.56457829475403,32.56457829475403,1.0
1600000,1.334782,2.1105964,999.0,27.98950546438044,27.98950546438044,1.0
1610000,1.3333124,2.2344005,999.0,28.982884738180374,28.982884738180374,1.0
1620000,1.3332554,2.2685802,999.0,27.583039489659395,27.583039489659395,1.0
1630000,1.3307571,2.2853923,999.0,26.18879161278407,26.18879161278407,1.0
1640000,1.3307111,2.3213475,999.0,32.0492969697172,32.0492969697172,1.0
1650000,1.3287742,2.42996,999.0,33.705378491845394,33.705378491845394,1.0
1660000,1.3287743,2.4789276,999.0,35.67596166784113,35.67596166784113,1.0
1670000,1.3275046,2.6180654,999.0,30.447046756744385,30.447046756744385,1.0
1680000,1.3274759,2.5963783,999.0,32.52384586767717,32.52384586767717,1.0
1690000,1.3255649,2.7622123,999.0,32.63913195663028,32.63913195663028,1.0
1700000,1.325414,2.7779357,999.0,35.66342214562676,35.66342214562676,1.0
1710000,1.3231677,2.7613957,999.0,29.71419396665361,29.71419396665361,1.0
1720000,1.3228319,2.8925252,999.0,35.24754505807703,35.24754505807703,1.0
1730000,1.3213333,3.0200038,999.0,34.61444733871354,34.61444733871354,1.0
1740000,1.321024,3.0374794,999.0,38.07811997153542,38.07811997153542,1.0
1750000,1.3197684,3.0936346,999.0,37.43407062689463,37.43407062689463,1.0
1760000,1.3194001,2.959903,999.0,27.609743652018633,27.609743652018633,1.0
1770000,1.3183482,2.960687,999.0,32.549757070011566,32.549757070011566,1.0
